Sección;Código;Descripción;PVR;PVP;Promoción
Páginas 002-003;01536044;Eau de Parfum Afrodisíaco x 100ml - Nuevo;20000,00;29999,99;
Páginas 004-005;50000141;Neceser Black - Nuevo;20000,00;24999,99;
Páginas 004-005;80250040;Box Masculino Afrodísiaco - Nuevo;16000,00;19999,99;
Páginas 006-007;01536027;Eau de parfum Deluxe Bravío x 110ml;20000,00;29999,99;
Páginas 006-007;01536026;Eau de parfum Deluxe Poderoso x 110ml;20000,00;29999,99;
Páginas 008-009;01536016;Eau de parfum Deluxe Party Men x 120ml;20000,00;29999,99;
Páginas 008-009;01536028;Eau de Parfum Deluxe Platinum x 100ml;20000,00;29999,99;
Páginas 010-011;01536035;Eau de parfum Mirage Noir x 100ml;26667,00;39999,99;
Páginas 010-011;01536048;Eau de parfum Mirage Blue x 100ml;26667,00;39999,99;
Páginas 012-013;01536039;Eau de Parfum Pour Homme Mirage Bourbon x 100ml;26667,00;39999,99;
Páginas 012-013;80250041;Box Masculino Mirage Bourbon - Nuevo;16000,00;19999,99;
Páginas 014-015;01525002;Fragancia exclusiva masculina Instinto Urbano x 100 ml;12353,00;20999,99;
Páginas 014-015;01559505;Fragancia Exclusiva Masculina Element x 50 ml;12353,00;20999,99;
Páginas 014-015;01536005;Eau de parfum Héroe x 105 ml;12353,00;20999,99;
Páginas 014-015;01559001;Loción exclusiva masculina Tempo x 100 ml;12353,00;20999,99;
Páginas 014-015;80080020;Bolsa Millanel Azul;1470,00;1690,00;
Páginas 016-017;01536007;Eau de parfum UOMO x 55 ml;10589,00;17999,99;
Páginas 016-017;01536008;Fragancia Exclusiva Masculina UOMO Intenso x 55 ml;10589,00;17999,99;
Páginas 016-017;01536037;Perfume Exclusivo Costa Azul x 50ml;10589,00;17999,99;
Páginas 016-017;01543001;Fragancia exclusiva masculina Blue x 50 ml;10589,00;17999,99;
Páginas 018-019;01536003;Eau de parfum Aventura x 50ml;10589,00;17999,99;
Páginas 018-019;01536010;Eau de Parfum Aventura Origen x 50ml;10589,00;17999,99;
Páginas 018-019;01530020;Eau de Parfum Infinity x 50 ml;10589,00;17999,99;
Páginas 018-019;01536012;Eau de parfum masculino Boreal x55 ml;10589,00;17999,99;
Páginas 018-019;01556001;Eau de parfum Uno x 105ml;10589,00;17999,99;
Páginas 020-021;80011002;Bolsa Obsequio;1470,00;1690,00;
Páginas 020-021;01120001;Loción Exclusiva Black Attractive x 50 ml.;10589,00;17999,99;
Páginas 020-021;01120004;Loción Exclusiva Black and Red x 50 ml.;10589,00;17999,99;
Páginas 020-021;01555001;Eau de parfum Black Obsession;10589,00;17999,99;
Páginas 022-023;44130020;Bóxer Vancouver Azul XL;12000,00;14999,99;
Páginas 022-023;44130021;Bóxer Vancouver Azul XXL;12000,00;14999,99;
Páginas 022-023;44380031;Soquete masculino Gris;4000,00;4999,99;
Páginas 022-023;44380056;Pijama Masculino Escoces Talle L;26400,00;32999,99;
Páginas 022-023;44380057;Pijama Masculino Escoces Talle XL;26400,00;32999,99;
Páginas 022-023;50530109;Afeitadora 4 en 1;32000,00;39999,99;
Páginas 024-025;50530093;Cargador Portatil;40000,00;49999,99;
Páginas 024-025;50530152;Organizador de cables Set x 3 un - Nuevo;4000,00;4999,99;
Páginas 024-025;50530161;Manito sujeta cables Set x 4 un;4000,00;4999,99;
Páginas 024-025;50530191;Neceser redondo Black;9600,00;11999,99;
Páginas 024-025;50521260;Mochila plegable sport;10400,00;12999,99;
Páginas 024-025;50530226;Morral Black - Nuevo;21600,00;26999,99;
Páginas 026-027;50530070;Pinza Multiuso;10400,00;12999,99;
Páginas 026-027;50530072;Set de Herramientas x 3;10400,00;12999,99;
Páginas 026-027;50530142;Destornillador de Precisión Set x 6 un;5600,00;6999,99;
Páginas 026-027;50530143;Cinta métrica de bolsillo 0.5 mts;4800,00;5999,99;
Páginas 026-027;50530144;Destornilladores 7 en 1 + Luz - Nuevo;6400,00;7999,99;
Páginas 028-029;40001116;Mate Pampa Beige;11200,00;13999,99;
Páginas 028-029;40001117;Yerbera y azucarera Pampa beige;29600,00;36999,99;
Páginas 028-029;40001118;Bolso Matero Beige;16000,00;19999,99;
Páginas 028-029;40001119;Funda para Mate Black;8000,00;9999,99;
Páginas 028-029;40001120;Yerbera y Azucarera de Tela Black;15200,00;18999,99;
Páginas 030-031;01030322;Loc. Nº 322 x 30ml - Nuevo / DEMO;4500,00;10499,99;
Páginas 030-031;01060322;Loc. Nº 322 x 60ml - Nuevo;8530,00;14499,99;
Páginas 032-037;01030000;Loción Alternativa x 30 ml.;6177,00;10499,99;
Páginas 032-037;01060000;Loción Alternativa x 60 ml.;8530,00;14499,99;
Páginas 032-037;05410002;Cera capilar Barber Shop;3840,00;4799,99;
Páginas 032-037;05410006;Óleo hidratante para barba Barber Shop;7040,00;8799,99;
Páginas 032-037;05410013;Pomada Modeladora Capilar Barber Shop x 50grs;6240,00;7799,99;
Páginas 038-039;05410003;Crema para afeitar Barber Shop;3840,00;4799,99;
Páginas 038-039;05410004;Shampoo 2 en 1 Barber Shop;6240,00;7799,99;
Páginas 038-039;05410014;Jabón para afeitar en pote Barber Shop x 50 g;3840,00;4799,99;
Páginas 038-039;80080017;Gift Box Millanel Chica;1731,00;1990,00;
Páginas 038-039;05410001;Bálsamo post afeitado Barber Shop;4640,00;5799,99;
Páginas 038-039;05415013;Loción par despues de afeitar Barber Shop x 125ml;4000,00;4999,99;
Páginas 038-039;50520000;Peine para barba Barber Shop impreso;4000,00;4999,99;
Páginas 038-039;50530103;Afeitadora USB;20000,00;24999,99;
Páginas 040-041;05201001/11;Agua de Colonia Masculina x 210 ml;5360,00;6699,99;
Páginas 040-041;05302510;Desodorante antitranspirante en crema MilLanel for Men;3360,00;4199,99;
Páginas 040-041;16205010;Crema gel Hidratante Millanel for Men;4532,00;5799,99;
Páginas 040-041;16205011;Gel de limpieza Millanel for men;5469,00;6999,99;
Páginas 040-041;16205012;Serum facial con acido hialuronico Millanel for Men;5469,00;6999,99;
Páginas 042-043;05307029/295;Deo Corporal masculino x 118 ml;3680,00;4599,99;Llevá 1 Deo + 1 Antitranspirante masculino a solo $9499.99 (iguales o diferentes)
Páginas 042-043;05304029/284;Antitranspirante Masculino roll on x 50 g;3920,00;4899,99;Llevá 1 Deo + 1 Antitranspirante masculino a solo $9499.99 (iguales o diferentes)
Páginas 042-043;05304295;Antitranspirante Masc Roll On N°295 x50g - Nuevo;3920,00;4899,99;Llevá 1 Deo + 1 Antitranspirante masculino a solo $9499.99 (iguales o diferentes)
Páginas 042-043;Pregular;Deo corporal Masculino x 118 ml (Precio regular);4960,00;6199,99;
Páginas 042-043;Pregular;Antitranspirante Masculino roll on x 50 g (Precio regular);4800,00;5999,99;
Páginas 044-045;01100000;Loción Alternativa x 100 ml.;10589,00;17999,99;
Páginas 044-045;01100308;Loc. Nº 308 x 100ml - Nuevo / DEMO PREMIUM;10589,00;17999,99;
Páginas 046-047;01557009;Eau de Parfum Sublime x 50ml;12353,00;20999,99;
Páginas 046-047;01559506;Fragancia exclusiva femenina Fémina x 65ml;12353,00;20999,99;
Páginas 046-047;80080006;Caja Un regalo para vos;1731,00;1990,00;
Páginas 046-047;01536036;Eau de parfum Pink Shimmer x 100ml;12353,00;20999,99;
Páginas 048-049;01553011;Fragancia Exclusiva Secret Pink x 55ml;12353,00;20999,99;
Páginas 048-049;01553012;Fragancia Exclusiva Secret Red x 55ml;12353,00;20999,99;
Páginas 048-049;47174002;Delineador liq negro Secret Beauty;5600,00;6999,99;
Páginas 048-049;47230021/32;Sombra individual Secret x 3.4 g;4800,00;5999,99;
Páginas 048-049;47473009;Masc p/ pestañas Secret Beauty Colletion x 3.5 gr;5600,00;6999,99;
Páginas 050-051;01536000;Fragancia Exclusiva Aventura Pour Femme x 50ml;11765,00;19999,99;
Páginas 050-051;01544001;Fragancia exclusiva femenina Love Love;11765,00;19999,99;
Páginas 050-051;01553015;Eau de parfum Belle rose x50ml;11765,00;19999,99;
Páginas 050-051;01503002;Fragancia exclusiva femenina Vainilla x 50 ml - 100% Ganancia;10000,00;19999,99;
Páginas 050-051;01542002;Eau de parfum Bella Noir x 70ml;11765,00;19999,99;
Páginas 050-051;50530177;Perfumero Recargable Negro 7.5 ml;7200,00;8999,99;
Páginas 052-053;01529002;Eau de Parfum Soul x 50 ml - 100% Ganancia;10000,00;19999,99;
Páginas 052-053;01536011;Eau de parfum femenino Miracle x45ml;11765,00;19999,99;
Páginas 052-053;01553014;Eau de parfum Miss Glam x 45ml;11765,00;19999,99;
Páginas 052-053;01509001;Loción Exclusiva Las Mil y Una Noches x 55 ml.;11765,00;19999,99;
Páginas 052-053;01539001;Fragancia exclusiva femenina Paradise;11765,00;19999,99;
Páginas 052-053;80080021;Bolsa Millanel Fucsia;1470,00;1690,00;
Páginas 054-055;01528003;Eau de toilette masculino Kroma Blue;8236,00;13999,99;
Páginas 054-055;01528007;Eau de toilette Kroma Lime X 60ml;8236,00;13999,99;
Páginas 054-055;01553005;Eau de toilette femenino Kroma Pink;8236,00;13999,99;
Páginas 054-055;01553006;Eau de toilette femenino Kroma Lilac;8236,00;13999,99;
Páginas 054-055;01557501/3;Fragancia Exclusiva Femenina Sentir x 50 ml;8236,00;13999,99;
Páginas 056-057;18015105;Eau de parfum F by Florencia Peña x 100 ml;19286,00;26999,99;
Páginas 056-057;18051003;Splash corporal Melocotón deFlor x 100 ml;8000,00;9999,99;
Páginas 056-057;18052003;Splash corporal Sugar de Flor x 100 ml;8000,00;9999,99;
Páginas 056-057;50530111;Neceser Florencia Peña;4000,00;4999,99;
Páginas 056-057;18036030;Eau de parfum F Magnética de Flor x 100ml;19286,00;26999,99;
Páginas 056-057;18050002;Shower Gel F Magnéticade Flor x 205gr;8000,00;9999,99;
Páginas 056-057;18052004;Splash corporal F Magnética de Flor x 100 ml;8000,00;9999,99;
Páginas 058-059;01536031;Eau de parfum Halimah 100ml;30000,00;44999,99;
Páginas 058-059;01536040;Eau de Parfum Rubí Oud x 100ml;30000,00;44999,99;
Páginas 060-061;01536019;Eau de Parfum Deluxe So Good x 80ml;20000,00;29999,99;
Páginas 060-061;01536018;Eau de Parfum Deluxe Party Woman Rosé x 90ml;20000,00;29999,99;
Páginas 062-063;01536023;Eau de parfum Deluxe Pink x 100ml;20000,00;29999,99;
Páginas 062-063;01536021;Eau de parfum Deluxe Scarlet x 50ml;20000,00;29999,99;
Páginas 064-071;80250090/94;Beauty Box Fragances;18400,00;22999,00;
Páginas 064-071;01030000;Loción Alternativa x 30 ml.;6177,00;10499,99;
Páginas 064-071;01060000;Loción Alternativa x 60 ml.;8530,00;14499,99;
Páginas 064-071;01100000;Loción Alternativa x 100 ml.;12353,00;20999,99;
Páginas 064-071;80080003;Caja Felicidades;2174,00;2499,00;
Páginas 064-071;Set-R;Set Regalable Felicidades;20599,00;;
Páginas 064-071;Set-R;Set Regalable Fragancia Alternativa;;19999,99;
Páginas 072-073;16076036/293;Crema Anti-Age para Manos x 85 g.;3750,00;4799,99;
Páginas 072-073;05118001/298;Body splash femenino x 80ml;5040,00;6299,99;
Páginas 072-073;80080019;Bolsa Rosas;1470,00;1690,00;
Páginas 074-075;47502010/12;Rubor liquido Colors x 6.5g;5600,00;6999,99;
Páginas 074-075;47511003/5;Base satinada Beige Colors x 30gr;4640,00;5799,99;
Páginas 074-075;47511006;Polvo Volatil Colors x 5 g;7200,00;8999,99;
Páginas 074-075;47759002;Cuarteto corrector de imperfecciones 4 usos Colors 10g;4400,00;5499,99;
Páginas 074-075;50001025;Esponja gota Grande;6400,00;7999,99;
Páginas 074-075;47511503;Base BB Cream Colors Nº1 claro 30 gr.;4640,00;5799,99;
Páginas 074-075;47511504;Base BB Cream Colors Nº2 Medio 30 gr.;4640,00;5799,99;
Páginas 074-075;47753003;Corrector de ojeras claro Colors 14 gr;3600,00;4499,99;
Páginas 074-075;47753004;Corrector de ojeras medio Colors 14 gr;3600,00;4499,99;
Páginas 076-077;47212001/10;Cuarteto de Sombras Colors x 2.8 g;6240,00;7799,99;
Páginas 076-077;47381000;Paleta de sombras Colors c/ estuche x 6 tonos;11200,00;13999,99;
Páginas 076-077;47473008;Máscara para pestañas Colors PUSH UP x 12g;7200,00;8999,99;
Páginas 076-077;47473302;Mascara para pestañas Colors Xtreme x 13 g;7200,00;8999,99;
Páginas 076-077;47505005;Iluminador Colors en Barra Bronce;4800,00;5999,99;
Páginas 076-077;47505006;Iluminador Colors en Barra dorado;4800,00;5999,99;
Páginas 076-077;50530055;Esponja para Make Up Flor 8 un;3200,00;3999,99;
Páginas 076-077;47555608;Iluminador en crema Colors Dorado x 1.4g;3040,00;3799,99;
Páginas 076-077;47555609;Iluminador en crema Colors Rosa x 1.4g;3040,00;3799,99;
Páginas 076-077;47582001;Contouring Make Up Colors;5040,00;6299,99;
Páginas 078-079;47303101/4;Labial liquido Colors;3330,00;4999,99;
Páginas 078-079;47480000;Spray Fijador de maquillaje Colors x 125ml;5600,00;6999,99;
Páginas 078-079;47624501/11;Labial Colors x 4g;4800,00;5999,99;
Páginas 078-079;47307010/14;Brillo Labial efecto Volumen Colors x 2.5g;3360,00;4199,99;
Páginas 080-081;47081021;Lima con removedor;3200,00;3999,99;
Páginas 080-081;47821001;Crema removedora Cuticula x 15 gr.;1600,00;2399,99;
Páginas 080-081;47850009;Quita esmalte con Aceite de almendras Millanel x 50ml;2960,00;3699,99;
Páginas 080-081;47852003;Serum multibeneficios para uñas y cutículas Colors x 11 ml;3450,00;5199,99;
Páginas 080-081;47852012;Secador de Esmalte Restyling Colors;4080,00;5099,99;
Páginas 080-081;47860010;Brillo fijador Colors para uñas x 7.5 ml;3120,00;3899,99;
Páginas 080-081;47840010/23;Esmalte Colors x 6ml;2960,00;3699,99;
Páginas 080-081;47840207/10;Esmalte Pretty nails prismatic 6ml;2960,00;3699,99;
Páginas 082-083;47820100;Tratamiento de Nanosfera x 11g;3120,00;3899,99;
Páginas 082-083;47820105;Tratamiento de diamantes x 11g;3120,00;3899,99;
