numero;genero;perfume;marca;confianza;nota
# BORRADOR para verificar. confianza: alta = lista base 1-149 / multi-fuente; media = 1 fuente; revisar = fuentes en conflicto. Corregí lo que haga falta y agregá los números faltantes; de acá se generan los productos.
1;mujer;Chanel N°5;Chanel;alta;
2;mujer;Calandre;Paco Rabanne;alta;
3;mujer;Opium;Yves Saint Laurent;alta;
4;hombre;Paco Rabanne (Pour Homme);Paco Rabanne;alta;
5;mujer;Trésor;Lancôme;alta;
6;hombre;Pino Silvestre;Pino Silvestre;alta;
7;mujer;Anaïs Anaïs;Cacharel;alta;
8;hombre;Eau Sauvage;Christian Dior;alta;
9;mujer;First;Van Cleef & Arpels;alta;
10;mujer;Amarige;Givenchy;alta;
11;hombre;Gentleman;Givenchy;alta;
12;hombre;Jazz;Yves Saint Laurent;alta;
13;mujer;Quartz;Molyneux;alta;
14;mujer;Madame Rochas;Rochas;alta;
15;mujer;L'Air du Temps;Nina Ricci;alta;
16;mujer;Poison;Christian Dior;alta;
17;mujer;Colors;Benetton;alta;
18;mujer;Paloma Picasso;Paloma Picasso;alta;
19;mujer;Tommy Girl;Tommy Hilfiger;alta;
20;hombre;Drakkar Noir;Guy Laroche;alta;
21;mujer;Charlie;Revlon;alta;
22;mujer;Montana d'Elle;Montana;alta;
23;mujer;Giorgio;Giorgio Beverly Hills;media;marca a confirmar (fuente decía Armani)
24;mujer;Carolina Herrera (clásico);Carolina Herrera;alta;
25;mujer;Escape;Calvin Klein;alta;
26;mujer;Paris;Yves Saint Laurent;alta;
27;mujer;Eternity;Calvin Klein;alta;
28;mujer;Kenzo (Le Monde est Beau);Kenzo;alta;
29;hombre;Kenzo pour Homme;Kenzo;alta;
30;hombre;Herrera for Men;Carolina Herrera;alta;
31;hombre;Azzaro pour Homme;Azzaro;alta;
32;mujer;Organza;Givenchy;alta;
33;mujer;Lou Lou;Cacharel;alta;
34;hombre;Eternity for Men;Calvin Klein;alta;
35;hombre;Ted Lapidus pour Homme;Ted Lapidus;alta;
36;mujer;212;Carolina Herrera;alta;
37;mujer;5th Avenue;Elizabeth Arden;alta;
38;hombre;Obsession for Men;Calvin Klein;alta;
39;mujer;Rumba;Balenciaga;alta;
40;hombre;Fahrenheit;Christian Dior;alta;
41;hombre;Parfum d'Homme;Montana;alta;
42;hombre;Giò / Giorgio;Giorgio Armani;media;
43;hombre;Kouros;Yves Saint Laurent;alta;
44;hombre;Cool Water;Davidoff;alta;
45;mujer;Samsara;Guerlain;alta;
46;mujer;Miss Dior;Christian Dior;alta;
47;unisex;Musk (clásico);—;media;genérico, sin marca
48;mujer;Jungle L'Éléphant;Kenzo;alta;
49;mujer;Obsession;Calvin Klein;alta;
50;mujer;Parfum d'Été;Kenzo;media;
51;mujer;Fidji;Guy Laroche;alta;
52;mujer;Extravagance d'Amarige;Givenchy;alta;
53;hombre;Xeryus;Givenchy;alta;
54;hombre;L'Eau d'Issey pour Homme;Issey Miyake;alta;
55;hombre;Polo;Ralph Lauren;alta;
56;mujer;Eau d'Eden;Cacharel;alta;
57;mujer;Angel;Thierry Mugler;alta;
58;mujer;Red Door;Elizabeth Arden;alta;
59;mujer;Ysatis;Givenchy;alta;
60;mujer;Dune;Christian Dior;alta;
61;mujer;Pleasures;Estée Lauder;alta;
62;mujer;Flower;Kenzo;alta;
63;mujer;Animale;Animale;alta;
64;mujer;L'Eau d'Issey;Issey Miyake;alta;
65;hombre;212 Men;Carolina Herrera;alta;
66;unisex;Patchouli;—;media;genérico
67;hombre;Escape for Men;Calvin Klein;alta;
68;mujer;Laguna;Salvador Dalí;alta;
69;hombre;Minotaure;Paloma Picasso;alta;
70;mujer;Kashâya;Kenzo;alta;
71;unisex;CK One;Calvin Klein;alta;
72;hombre;Acqua di Giò;Giorgio Armani;media;
73;hombre;Polo Sport;Ralph Lauren;alta;
74;mujer;Flore;Carolina Herrera;alta;
75;mujer;L'Eau par Kenzo;Kenzo;alta;
76;mujer;Cabotine;Grès;alta;
77;mujer;Cool Water Woman;Davidoff;alta;
78;unisex;Paco;Paco Rabanne;alta;
79;mujer;Duende;Jesús del Pozo;alta;
80;mujer;Eden;Cacharel;alta;
81;mujer;Halloween;Jesús del Pozo;alta;
